date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:40:56	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:57%20GMT	http://playdoge.io/assets/images/svg-icons/loading-about.svg	C:/game/playdoge.io/assets/images/svg-icons/loading-about.svg	(from https://playdoge.io/en)
05:40:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:58%20GMT	http://playdoge.io/assets/images/svg-icons/loading-about-mob.svg	C:/game/playdoge.io/assets/images/svg-icons/loading-about-mob.svg	(from https://playdoge.io/en)
05:40:57	129487/129487	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e9401645aa027ffb0afdb9ec182f26b5%22	https://playdoge.io/assets/images/svg-icons/loading-about.svg	C:/game/playdoge.io/assets/images/svg-icons/loading-about.svg	(from https://playdoge.io/en)
05:40:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:40:59%20GMT	http://playdoge.io/assets/images/svg-icons/about-logo.svg	C:/game/playdoge.io/assets/images/svg-icons/about-logo.svg	(from https://playdoge.io/en)
05:40:59	115334/115334	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22effb6d3143b48c98aa35ebad66ea3b3b%22	https://playdoge.io/assets/images/svg-icons/loading-about-mob.svg	C:/game/playdoge.io/assets/images/svg-icons/loading-about-mob.svg	(from https://playdoge.io/en)
05:41:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:41:01%20GMT	http://playdoge.io/assets/images/svg-icons/folder.svg	C:/game/playdoge.io/assets/images/svg-icons/folder.svg	(from https://playdoge.io/en)
05:41:00	63874/63874	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22488b39270fa76b9361625c65ff969599%22	https://playdoge.io/assets/images/svg-icons/about-logo.svg	C:/game/playdoge.io/assets/images/svg-icons/about-logo.svg	(from https://playdoge.io/en)
05:41:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:41:02%20GMT	http://playdoge.io/assets/images/svg-icons/about-mobile.svg	C:/game/playdoge.io/assets/images/svg-icons/about-mobile.svg	(from https://playdoge.io/en)
05:41:01	11856/11856	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265beb77189d2a88acca12d759e821af1%22	https://playdoge.io/assets/images/svg-icons/folder.svg	C:/game/playdoge.io/assets/images/svg-icons/folder.svg	(from https://playdoge.io/en)
05:41:02	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:41:03%20GMT	http://playdoge.io/assets/images/svg-icons/about-mob.webp	C:/game/playdoge.io/assets/images/svg-icons/about-mob.webp	(from https://playdoge.io/en)
05:41:03	2467257/2467257	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220243eb18e69c024751af15012762307f%22	https://playdoge.io/assets/images/svg-icons/about-mobile.svg	C:/game/playdoge.io/assets/images/svg-icons/about-mobile.svg	(from https://playdoge.io/en)
05:41:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:41:04%20GMT	http://playdoge.io/assets/images/svg-icons/roadmap-bar.svg	C:/game/playdoge.io/assets/images/svg-icons/roadmap-bar.svg	(from https://playdoge.io/en)
05:41:04	65726/65726	---M--	200	added ('OK')	binary/octet-stream	etag:%222d5039a1807da6a43d47b69d737bee83%22	https://playdoge.io/assets/images/svg-icons/about-mob.webp	C:/game/playdoge.io/assets/images/svg-icons/about-mob.webp	(from https://playdoge.io/en)
05:41:05	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2000:41:06%20GMT	http://playdoge.io/assets/images/svg-icons/tokenomics.svg	C:/game/playdoge.io/assets/images/svg-icons/tokenomics.svg	(from https://playdoge.io/en)
